year,country,ka_open,cblackmarketexchangerates,acreditmarketregulation,BankAssets_CBShare,FD,Portfolioequityassets,Currentaccountbalance,Capitalaccount,cbie_index,GDPconstant2015US
2020,Czechia,1.0,10.0,8.9598255,99.99,0.3187923,22420.629,4967.2561,2865.1163,0.795,203800000000.0
2021,Czechia,1.0,10.0,9.0631669,99.99,0.316862,29187.235,-7686.4375,4771.4132,0.795,211000000000.0
1980,Germany,1.0,10.0,7.6092759,98.61,0.3918902,5207.2486,-15655.477,-1473.5454,0.746,1861000000000.0
1981,Germany,1.0,10.0,7.6032699,98.58,0.4037497,4646.9753,-5304.7136,-645.67796,0.746,1870000000000.0
1982,Germany,1.0,10.0,7.5972639,98.74,0.4075443,5219.8611,5511.8933,-607.00917,0.746,1863000000000.0
1983,Germany,1.0,10.0,7.5912579,98.7,0.4510784,8034.7309,4346.7833,-601.00753,0.746,1892000000000.0
1984,Germany,1.0,10.0,7.5852519,98.84,0.4527204,7736.6582,9212.7369,-570.20604,0.746,1946000000000.0
1985,Germany,1.0,10.0,7.5792459,99.0,0.5030063,12560.436,17994.052,-740.6532,0.746,1991000000000.0
1986,Germany,1.0,10.0,7.5925926,98.85,0.5321838,18856.657,38661.457,-796.96211,0.746,2037000000000.0
1987,Germany,1.0,10.0,7.6059393,98.99,0.5841281,20055.643,44216.521,-955.48458,0.746,2065000000000.0
1988,Germany,1.0,10.0,7.619286,98.99,0.5576003,32963.545,53961.061,-886.39606,0.746,2142000000000.0
1989,Germany,1.0,10.0,7.6326326,99.04,0.5598257,43953.351,57052.695,-893.46467,0.746,2225000000000.0
1990,Germany,1.0,10.0,7.6459793,99.15,0.5925967,44960.509,46455.961,-2816.5603,0.746,2342000000000.0
1991,Germany,1.0,10.0,7.5507655,99.2,0.5841669,58001.319,-26564.029,-3023.4123,0.746,2462000000000.0
1992,Germany,1.0,10.0,7.4555517,99.11,0.5733979,94609.046,-25255.08,-1621.5405,0.746,2509000000000.0
1993,Germany,1.0,10.0,7.360338,99.32,0.6091753,115203.61,-21408.143,-1480.7994,0.746,2485000000000.0
1994,Germany,1.0,10.0,7.2651242,99.4,0.6315895,145785.12,-33446.012,-1758.5773,0.819,2544000000000.0
1995,Germany,1.0,10.0,7.1699104,99.48,0.6334016,165971.4,-32191.296,-3119.7985,0.819,2583000000000.0
1996,Germany,1.0,10.0,7.402595,99.53,0.5214836,187491.64,-17018.287,-3007.1634,0.819,2604000000000.0
1997,Germany,1.0,10.0,7.6352796,99.55,0.699325,241387.2,-11520.843,-533.27954,0.83,2651000000000.0
1998,Germany,1.0,10.0,7.8679642,99.58,0.7545339,370572.03,-15635.185,-541.15942,0.912,2704000000000.0
1999,Germany,1.0,10.0,7.948328833333334,99.67,0.7534623666666667,410626.7,-12789.952,-1320.9220799999998,0.912,2763666666666.6665
2000,Germany,1.0,10.0,8.028693466666667,99.75999999999999,0.7523908333333333,450681.37,-9944.719,-2100.6847399999997,0.912,2823333333333.3335
2001,Germany,1.0,10.0,8.1090581,99.85,0.7513193,490736.04,-7099.486,-2880.4474,0.912,2883000000000.0
2002,Germany,1.0,10.0,8.0325355,99.85,0.7284536,437829.1,39720.518,-3964.9779,0.912,2877000000000.0
2003,Germany,1.0,10.0,7.995996,99.85,0.7398265,576236.17,35985.325,7040.9552,0.912,2857000000000.0
2004,Germany,1.0,10.0,8.009227,99.85,0.7545614,668229.91,127505.92,-186.18096,0.912,2891000000000.0
2005,Germany,1.0,10.0,8.0126434,99.85,0.761178,771379.88,133087.24,-2993.024,0.912,2912000000000.0
2006,Germany,1.0,10.0,8.1706515,99.85,0.7820095,884233.8,173486.48,-1714.5379,0.912,3023000000000.0
2007,Germany,1.0,10.0,8.2947792,99.85,0.7742583,954029.74,235777.2,-2314.9209,0.912,3113000000000.0
2008,Germany,1.0,10.0,8.2857469,99.85,0.7360213,589528.3,213250.03,-1216.7641,0.912,3143000000000.0
2009,Germany,1.0,10.0,8.0329577,99.85,0.7529479,707088.26,201134.9,-2597.4487,0.912,2964000000000.0
2010,Germany,1.0,10.0,7.9277277,99.85,0.7402263,739717.65,196171.9,1615.1431,0.912,3088000000000.0
2011,Germany,1.0,10.0,8.2802163,99.84,0.7236596,647169.96,231971.69,604.27251,0.912,3209000000000.0
2012,Germany,1.0,10.0,8.3333333,99.85,0.7369992,747412.39,251550.85,-608.74937,0.912,3223000000000.0
2013,Germany,1.0,10.0,8.3333333,99.84,0.7165791,919610.08,245384.3,-823.92701,0.912,3237000000000.0
2014,Germany,1.0,10.0,8.3333333,99.84,0.718174,939768.03,279426.38,4444.459,0.912,3308000000000.0
2015,Germany,1.0,10.0,8.3333333,97.06,0.7437466,952012.63,288065.45,325.97951,0.912,3358000000000.0
2016,Germany,1.0,10.0,8.3333333,92.44,0.6879994,1009044.6,298958.46,2691.5879,0.912,3432000000000.0
2017,Germany,1.0,10.0,8.3333333,89.21,0.6808754,1354430.7,289656.12,-3130.5614,0.912,3524000000000.0
2018,Germany,1.0,10.0,8.3333333,88.12,0.6981347,1214344.6,316888.14,1279.0536,0.912,3559000000000.0
2019,Germany,1.0,10.0,8.0,88.27,0.6697968,1492139.2,317892.24,-4123.6515,0.912,3597000000000.0
2020,Germany,1.0,10.0,7.4902656,84.58,0.7120937,1798381.3,275870.15,-10593.619,0.912,3460000000000.0
2021,Germany,1.0,10.0,7.927744,81.18,0.7020719,2153346.7,329969.05,-1473.7759,0.912,3569000000000.0
1985,Denmark,0.4172374,10.0,9.0826281,94.71,0.3811683,725.42927,-2767.04,0.0,0.606,188100000000.0
1986,Denmark,0.4172374,10.0,9.1349456,92.61,0.4396555,2574.4979,-4490.07,0.0,0.606,197300000000.0
1987,Denmark,0.4172374,10.0,9.187263,98.54,0.5009809,2618.2174,-3001.5,0.0,0.606,197800000000.0
1988,Denmark,0.7606722,10.0,9.2395805,98.61,0.5281268,3416.2761,-1339.88,0.0,0.606,197800000000.0
1989,Denmark,0.8205042,10.0,9.291898,98.21,0.5686542,4464.6235,-1117.66,0.0,0.606,199100000000.0
1990,Denmark,0.8803361,10.0,9.3442155,97.75,0.5395671,4674.5152,1371.55,0.0,0.606,202000000000.0
1991,Denmark,0.9401681,10.0,9.3735532,96.47,0.4887256,6425.9745,1983.27,0.0,0.606,204800000000.0
1992,Denmark,1.0,10.0,9.4028908,98.27,0.5289716,6394.373,4198.75,0.0,0.606,208800000000.0
1993,Denmark,1.0,10.0,9.4322285,97.42,0.5460373,7973.4219,4831.71,0.0,0.606,208900000000.0
1994,Denmark,1.0,10.0,9.497806950000001,97.02250000000001,0.558472625,11583.640925,3854.098165,31.9464425,0.606,216875000000.0
1995,Denmark,1.0,10.0,9.563385400000001,96.625,0.57090795,15193.859949999998,2876.4863299999997,63.892885,0.606,224850000000.0
1996,Denmark,1.0,10.0,9.62896385,96.22749999999999,0.583343275,18804.078975,1898.874495,95.8393275,0.606,232825000000.0
1997,Denmark,1.0,10.0,9.6945423,95.83,0.5957786,22414.298,921.26266,127.78577,0.606,240800000000.0
1998,Denmark,1.0,10.0,9.7963615,96.52,0.6655179,32622.876,-2008.095,50.015238,0.606,246200000000.0
1999,Denmark,1.0,10.0,9.8981808,96.56,0.6499048,50132.319,3047.1922,127.56799,0.606,253400000000.0
2000,Denmark,1.0,10.0,10.0,99.12,0.7223727,56480.145,2261.836,-11.383501,0.606,262900000000.0
2001,Denmark,1.0,10.0,10.0,99.12,0.7188704,47977.516,4848.0724,14.452255,0.606,265100000000.0
2002,Denmark,1.0,10.0,10.0,99.16,0.5984208,35795.858,3460.4096,152.47601,0.606,266300000000.0
2003,Denmark,1.0,10.0,9.9910309,99.24,0.6209646,52117.83,6963.066,-6.5342484,0.606,267400000000.0
2004,Denmark,1.0,10.0,10.0,99.36,0.6527644,65428.116,5940.8381,13.151869,0.606,274500000000.0
2005,Denmark,1.0,10.0,10.0,99.62,0.65971,88374.156,11007.384,404.28686,0.606,280900000000.0
2006,Denmark,1.0,10.0,10.0,99.64,0.6989073,132046.84,9461.6568,6.5499409,0.606,291900000000.0
2007,Denmark,1.0,10.0,10.0,99.86,0.7101889,156759.4,4841.519,50.319541,0.606,294600000000.0
2008,Denmark,1.0,10.0,10.0,99.9,0.6710883,85198.774,10413.117,83.381798,0.606,293100000000.0
2009,Denmark,1.0,10.0,9.6977645,99.93,0.7290475,115037.28,11323.461,-48.663735,0.606,278700000000.0
2010,Denmark,1.0,10.0,9.6608732,99.97,0.7397701,136051.34,21051.011,83.597207,0.606,283900000000.0
2011,Denmark,1.0,10.0,9.7325598,99.98,0.6855049,129215.57,22681.953,1090.5597,0.606,287700000000.0
2012,Denmark,1.0,10.0,9.4943494,99.98,0.7173354,161706.81,20460.991,78.059087,0.606,288300000000.0
2013,Denmark,1.0,10.0,9.9464402,99.99,0.7179793,206434.87,26685.646,-107.34782,0.606,291000000000.0
2014,Denmark,1.0,10.0,10.0,100.0,0.7015371,216415.69,31353.333,-739.24167,0.606,295700000000.0
2015,Denmark,1.0,10.0,9.7526667,100.0,0.7005937,211300.73,24953.252,-1057.2532,0.606,302700000000.0
2016,Denmark,1.0,10.0,9.7695738,100.0,0.6678691,231384.56,24312.984,25.035167,0.606,312500000000.0
2017,Denmark,1.0,10.0,10.0,100.0,0.6936773,303430.26,26734.105,150.03332,0.606,321300000000.0
2018,Denmark,1.0,10.0,10.0,100.0,0.6736809,289992.64,25762.026,30.990006,0.606,327700000000.0
1980,Algeria,0.0,0.0,0.0,80.65,0.0934078,0.0,249.12377,0.0,0.55,69640000000.0
1981,Algeria,0.0,0.0,0.0,91.29,0.0985688,0.0,89.902046,0.0,0.55,71730000000.0
1982,Algeria,0.0,0.0,0.0,89.13,0.1088132,0.0,-183.13696,0.0,0.55,76320000000.0
1983,Algeria,0.0,0.0,0.0,84.47,0.1117823,0.0,-85.198797,0.0,0.55,80440000000.0
1984,Algeria,0.0,0.0,0.0,82.83,0.1141152,0.20622682,74.447538,0.0,0.55,84950000000.0
1985,Algeria,0.0,0.0,0.0,83.7,0.1153935,0.28257828,1014.7579,0.0,0.55,88090000000.0
1986,Algeria,0.0,0.0,0.17432648,77.51,0.1178226,0.39308184,-2229.9647,0.0,0.55,88440000000.0
1987,Algeria,0.0,0.0,0.34865296,74.32,0.1397197,0.4494501,141.24464,0.0,0.55,87820000000.0
1988,Algeria,0.1629476,0.0,0.52297944,71.28,0.1425451,0.0,-2039.6409,0.0,0.55,86950000000.0
1989,Algeria,0.1629476,0.0,0.69730592,72.34,0.1407301,0.0,-1081.0195,0.0,0.55,90770000000.0
1990,Algeria,0.1629476,0.0,0.8716324,78.31,0.1375264,0.0,1420.261,0.0,0.589,91500000000.0
1991,Algeria,0.1629476,0.0,0.79319273,80.79,0.1353973,0.11443478,2366.7134,0.0,0.589,90400000000.0
1992,Algeria,0.1629476,0.0,0.71475306,73.02,0.1274222,0.10676615,1290.0,0.0,0.589,92030000000.0
1993,Algeria,0.1629476,0.0,0.63631338,65.53,0.1209597,0.13037792,810.0,0.0,0.589,90090000000.0
1994,Algeria,0.1629476,0.0,0.55787371,66.63,0.1235338,0.13409847,-1838.6388,0.0,0.589,89280000000.0
1995,Algeria,0.1629476,0.0,0.47943404,74.77,0.1197805,0.15676393,-2236.915,0.0,0.589,92680000000.0
1996,Algeria,0.1629476,1.556,0.8358729,83.54,0.1194029,0.17390502,1247.6002,0.0,0.589,96480000000.0
1997,Algeria,0.1629476,3.112,1.1923118,85.09,0.1215196,0.19639036,3450.0,0.0,0.589,97540000000.0
1998,Algeria,0.1629476,4.668,1.5487506,86.71,0.1198963,0.23554105,-910.0,0.0,0.589,102500000000.0
1999,Algeria,0.1629476,6.224,1.9051895,89.47,0.1265435,0.2944261,20.0,0.0,0.589,105800000000.0
2000,Algeria,0.1629476,7.78,2.2616283,89.07,0.123235,0.25003026,9142.3163,0.0,0.589,109800000000.0
2001,Algeria,0.1629476,7.0,4.00785,92.73,0.1184165,0.20686944,7059.8,0.0,0.589,113100000000.0
2002,Algeria,0.1629476,8.0626781,4.2192886,94.04,0.122176,0.16443601,4359.16,0.0,0.589,119200000000.0
2003,Algeria,0.1629476,8.0626781,3.896126,93.94,0.1259692,0.21643411,8808.0,0.0,0.6155,127000000000.0
2004,Algeria,0.1629476,7.9310345,4.2952562,95.05,0.1161814,0.24521087,11116.178,0.0,0.6155,132700000000.0
2005,Algeria,0.1629476,7.9310345,4.4468407,95.57,0.1138031,0.26685075,21180.0,-3.0,0.6155,139800000000.0
2006,Algeria,0.1629476,7.9614325,6.6666667,80.4,0.1193793,0.31697004,28923.0,-5.0,0.6155,143900000000.0
2007,Algeria,0.1629476,8.9739277,6.6666667,99.77,0.1249458,0.34753684,30353.591,-0.18832873,0.6155,148400000000.0
2008,Algeria,0.1629476,8.1591264,6.3333333,99.81,0.1324687,0.19622575,33954.307,-0.20872872,0.6155,152100000000.0
2009,Algeria,0.1629476,9.1771429,6.3504226,99.81,0.1312255,0.25806431,431.66524,-0.06028429,0.6155,153900000000.0
2010,Algeria,0.1629476,8.56554,5.6666667,99.79,0.1300809,0.2849545,12220.268,3.8236181,0.6155,161300000000.0
2011,Algeria,0.1629476,9.0744467,6.3139159,99.81,0.128097,0.25813934,17673.869,-1.2985825,0.6155,166100000000.0
2012,Algeria,0.1629476,7.1978718,6.6472492,99.81,0.127813,0.29280843,12092.477,-8.872432,0.6155,170100000000.0
2013,Algeria,0.1629476,5.2720079,6.6666667,99.9,0.1281137,0.35210285,1187.8943,0.22382216,0.6155,174500000000.0
2014,Algeria,0.1629476,7.1819738,6.153,99.91,0.1317602,0.35948966,-9264.3229,-3.1211738,0.6155,181700000000.0
2015,Algeria,0.1629476,5.5639098,5.1903333,99.92,0.1333948,0.34418515,-27037.635,0.17365158,0.6155,187500000000.0
2016,Algeria,0.1629476,5.5639098,5.1005086,99.94,0.1333888,0.36355667,-26204.046,0.61147241,0.6435,194800000000.0
2017,Algeria,0.1629476,0.0,5.1005086,81.51,0.1360564,0.44214505,-22067.518,0.71778856,0.586,197700000000.0
2018,Algeria,0.1629476,0.0,5.1005086,68.52,0.1392601,0.3927066,-16905.643,0.15624285,0.586,200500000000.0
2019,Algeria,0.1629476,0.0,6.1883417,66.86,0.13622,0.48714848,-16954.294,-0.44260612,0.586,202300000000.0
2020,Algeria,0.1629476,4.3628186,6.0047082,67.86,0.1390679,0.556978,-18187.037,-41.326291,0.586,192200000000.0
2021,Algeria,0.1629476,5.6236636,5.0047082,69.89,0.1408832,0.65053908,-4514.5638,-53.547945,0.586,199500000000.0
1980,Spain,0.4172374,10.0,7.3693694,90.35,0.1421683,253.62529,-5579.9996,0.0,0.377,552100000000.0
1981,Spain,0.4172374,9.92,7.5486153,88.81,0.1818693,246.33372,-5363.2078,0.0,0.377,551400000000.0
1982,Spain,0.4172374,9.84,7.7278612,86.87,0.1889177,359.49106,-4548.2435,0.0,0.377,558300000000.0
1983,Spain,0.4172374,9.76,7.9071071,83.78,0.226282,432.92264,-3013.1945,0.0,0.377,568200000000.0
1984,Spain,0.4172374,9.68,8.086353,88.94,0.3066213,635.36285,1777.6009,0.0,0.377,578300000000.0
1985,Spain,0.4172374,9.6,8.2655989,88.44,0.3721553,1199.9189,2785.4701,0.0,0.377,591700000000.0
1986,Spain,0.4172374,9.6,8.2669336,91.96,0.4491647,2227.8845,3914.2339,0.0,0.377,611000000000.0
1987,Spain,0.4172374,9.6,8.2682683,92.04,0.5113329,2520.1941,-263.46875,0.0,0.377,644900000000.0
1988,Spain,0.4172374,9.6,8.2696029,92.91,0.4450156,3201.9634,-3795.4892,0.0,0.377,677700000000.0
1989,Spain,0.4172374,9.6,8.2709376,94.65,0.4655773,3866.2667,-10924.451,0.0,0.377,710400000000.0
1990,Spain,0.4172374,9.6,8.2722723,95.69,0.4787712,3456.7732,-18009.41,1474.1967,0.377,737300000000.0
1991,Spain,0.4172374,9.68,8.2888626,95.12,0.4667905,4386.8924,-19797.682,3228.9127,0.377,756100000000.0
1992,Spain,0.4172374,9.76,8.3054529,97.08,0.4729288,4236.8681,-21537.215,3673.2237,0.377,763100000000.0
1993,Spain,0.5889548,9.84,8.32204325,96.515,0.5185028,5693.239299999999,-13963.2822,2926.779,0.56725,768150000000.0
1994,Spain,0.7606722,9.92,8.3386336,95.95,0.5640768,7149.6105,-6389.3494,2180.3343,0.7575,773200000000.0
1995,Spain,0.8205042,10.0,8.3552239,96.09,0.5383239,8935.2531,-1966.8613,5861.0865,0.7575,794600000000.0
1996,Spain,0.8803361,10.0,8.6690236,96.37,0.5732821,10727.256,-2233.9734,6334.41,0.7575,815700000000.0
1997,Spain,0.9401681,10.0,8.9828234,96.7,0.6547031,22307.4,-829.66696,6107.3944,0.7575,845900000000.0
1998,Spain,1.0,10.0,9.2966232,96.98,0.7761395,37805.229,-7251.4854,5966.0067,0.8955,883100000000.0
1999,Spain,1.0,10.0,9.531082133333333,97.41333333333334,0.7936901666666667,47117.30433333333,-14019.482933333333,5311.151633333333,0.8955,925066666666.6666
2000,Spain,1.0,10.0,9.765541066666668,97.84666666666666,0.8112408333333333,56429.37966666667,-20787.480466666664,4656.296566666667,0.8955,967033333333.3334
2001,Spain,1.0,10.0,10.0,98.28,0.8287915,65741.455,-27555.478,4001.4415,0.8955,1009000000000.0
2002,Spain,1.0,10.0,9.6666667,98.42,0.8072675,53181.674,-26251.685,6670.4844,0.8955,1037000000000.0
2003,Spain,1.0,10.0,9.6666667,98.4,0.8326722,80975.982,-35103.882,9418.7967,0.8955,1068000000000.0
2004,Spain,1.0,10.0,9.6660535,98.47,0.843776,110302.86,-58677.027,9024.1583,0.8955,1101000000000.0
2005,Spain,1.0,10.0,10.0,98.71,0.8503712,129330.51,-83915.471,7222.6305,0.8955,1141000000000.0
2006,Spain,1.0,10.0,10.0,99.06,0.8894697,187137.8,-111532.34,4987.0895,0.8955,1188000000000.0
2007,Spain,1.0,10.0,10.0,99.23,0.8921974,210239.43,-139287.63,5455.06,0.8955,1231000000000.0
2008,Spain,1.0,10.0,9.6493991,99.18,0.8444592,94831.83,-145715.52,5581.368,0.8955,1242000000000.0
2009,Spain,1.0,10.0,8.6834054,99.06,0.8770011,124248.87,-60418.931,5934.893,0.8955,1195000000000.0
2010,Spain,1.0,10.0,9.1629407,98.92,0.8395753,137724.81,-52249.545,5337.8691,0.8955,1197000000000.0
2011,Spain,1.0,10.0,9.397361,98.48,0.8280997,113894.25,-39975.23,4859.8914,0.8955,1187000000000.0
2012,Spain,1.0,10.0,8.5561588,98.31,0.8262088,137877.3,735.15058,6929.9343,0.8955,1152000000000.0
2013,Spain,1.0,10.0,8.7339701,98.17,0.8441203,191545.96,27588.004,8264.9249,0.8955,1136000000000.0
2014,Spain,1.0,10.0,9.007,97.93,0.8781472,212338.81,22662.338,5977.8603,0.8955,1152000000000.0
2015,Spain,1.0,10.0,8.9786667,95.01,0.8774564,244479.56,24107.677,7698.2298,0.8955,1196000000000.0
2016,Spain,1.0,10.0,9.3233955,90.2,0.8703811,246851.25,39298.651,2672.2157,0.8955,1232000000000.0
2017,Spain,1.0,10.0,9.3233955,86.25,0.9014859,355786.74,36857.922,3261.7693,0.8955,1269000000000.0
2018,Spain,1.0,10.0,9.3233955,84.52,0.8474308,333545.37,26481.556,6719.0095,0.8955,1298000000000.0
2019,Spain,1.0,10.0,9.5833798,84.52,0.8133221,395230.09,29247.198,4705.0301,0.8955,1324000000000.0
2020,Spain,1.0,10.0,8.2955363,80.45,0.8266426,480940.98,8229.0785,5985.4172,0.8955,1176000000000.0
2021,Spain,1.0,10.0,8.9475702,76.15,0.8034851,562072.0,10892.992,12659.971,0.8955,1251000000000.0
1996,Estonia,0.8803361,10.0,5.8666667,98.54,0.2070169,26.093248,-398.23549,-0.65040416,0.7795,10760000000.0
1997,Estonia,0.9401681,10.0,6.7333333,99.36,0.2341173,98.479353,-561.72955,-0.16419815,0.7795,12170000000.0
1998,Estonia,1.0,10.0,7.6,99.77,0.2152116,31.506339,-478.43338,1.7696498,0.7795,12690000000.0
1999,Estonia,1.0,10.0,8.4666667,99.75,0.2219466,12.350598,-294.64415,1.2313379,0.7795,12640000000.0
2000,Estonia,1.0,10.0,9.3333333,99.8,0.2338235,26.409351,-299.00935,25.922082,0.7795,13910000000.0
2001,Estonia,1.0,10.0,10.0,99.83,0.2481911,22.507348,-324.62126,14.469416,0.813,14750000000.0
2002,Estonia,1.0,10.0,10.0,99.86,0.2666962,36.769235,-779.34125,38.182118,0.813,15750000000.0
2003,Estonia,1.0,10.0,10.0,99.89,0.2950042,205.80585,-1276.1093,59.10413,0.82,16950000000.0
2004,Estonia,1.0,10.0,10.0,99.92,0.2721507,524.2001,-1455.764,88.842777,0.82,18100000000.0
2005,Estonia,1.0,10.0,9.6666667,99.96,0.2820909,1001.1265,-1218.0794,105.39458,0.82,19820000000.0
2006,Estonia,1.0,10.0,10.0,99.98,0.3192167,1760.5379,-2549.0611,367.8493,0.8285,21760000000.0
2007,Estonia,1.0,10.0,9.6666667,99.98,0.3371449,2940.374,-3323.0952,282.74735,0.8285,23410000000.0
2008,Estonia,1.0,10.0,9.6630311,99.98,0.3234276,1121.674,-2156.4216,294.08456,0.8285,22210000000.0
2009,Estonia,1.0,10.0,9.7974384,99.97,0.3102106,1589.2786,525.70368,691.22357,0.8285,18960000000.0
2010,Estonia,1.0,10.0,9.9958458,99.96,0.3110431,2129.7344,340.43847,669.5648,0.8285,19420000000.0
2011,Estonia,1.0,10.0,10.0,99.96,0.313591,2077.4457,304.22974,942.31498,0.929,20830000000.0
2012,Estonia,1.0,10.0,9.9937852,99.96,0.301919,2533.3892,-431.76787,789.34729,0.929,21500000000.0
2013,Estonia,1.0,10.0,9.9523791,99.96,0.2933782,3263.3905,75.410519,650.62741,0.929,21820000000.0
2014,Estonia,1.0,10.0,10.0,99.96,0.2778327,3114.9253,173.05502,289.22546,0.912,22470000000.0
2015,Estonia,1.0,10.0,10.0,99.64,0.287311,3071.6418,403.27447,470.49981,0.912,22890000000.0
2016,Estonia,1.0,10.0,10.0,99.55,0.2816133,3495.852,300.56309,258.11273,0.912,23610000000.0
2017,Estonia,1.0,10.0,9.6186075,99.56,0.2722357,4337.8645,613.82726,271.51585,0.912,24980000000.0
2018,Estonia,1.0,10.0,9.6186075,99.98,0.2817067,3984.8565,271.50077,436.19365,0.912,25930000000.0
2019,Estonia,1.0,10.0,9.6666667,99.98,0.263315,5031.1166,767.40374,525.45112,0.912,26970000000.0
2020,Estonia,1.0,10.0,9.6666667,98.97,0.279505,7514.8046,-660.16713,592.7637,0.912,26710000000.0
2021,Estonia,1.0,10.0,9.4040898,98.89,0.2524271,8879.3926,-1002.335,3231.8536,0.912,28650000000.0
1980,Finland,0.7008403,9.8,8.6299633,96.16,0.238351,41.090777,-1402.7663,0.0,0.5535,114300000000.0
1981,Finland,0.7008403,9.84,8.7646313,95.78,0.2416962,38.995229,-478.18339,0.0,0.5535,115800000000.0
1982,Finland,0.7008403,9.88,8.8992993,95.87,0.2574145,42.681873,-923.0751,0.0,0.5535,119400000000.0
1983,Finland,0.7008403,9.92,9.0339673,95.55,0.2624674,50.201894,-1124.2697,0.0,0.5535,123200000000.0
1984,Finland,0.7008403,9.96,9.1686353,96.13,0.3174064,64.944757,-20.635961,0.0,0.5535,127100000000.0
1985,Finland,0.7008403,10.0,9.3033033,97.08,0.3361245,72.587106,-806.25871,0.0,0.5535,131700000000.0
1986,Finland,0.7008403,10.0,9.3073073,97.3,0.3593845,102.12491,-693.30877,0.0,0.5535,135300000000.0
1987,Finland,0.7008403,10.0,9.3113113,97.8,0.3956076,125.23831,-1731.4743,0.0,0.5535,140100000000.0
1988,Finland,0.7008403,10.0,9.3153153,98.25,0.3863199,167.26065,-2693.8795,0.0,0.5535,147400000000.0
1989,Finland,0.7008403,10.0,9.3193193,98.58,0.3841297,259.06442,-5797.0606,0.0,0.5535,154900000000.0
1990,Finland,0.7008403,10.0,9.3233233,98.88,0.3579656,209.6863,-6962.269,0.0,0.5535,156000000000.0
1991,Finland,0.7606722,10.0,9.1269389,99.07,0.3500293,102.83087,-6807.3734,-70.935054,0.5535,146800000000.0
1992,Finland,0.8205042,10.0,8.9305544,98.81,0.3524847,89.418494,-5115.9074,0.0,0.5535,142000000000.0
1993,Finland,0.8803361,10.0,8.7341699,98.51,0.4026694,308.23753,-1135.0041,0.0,0.5535,141000000000.0
1994,Finland,0.9401681,10.0,8.5377854,98.49,0.4239781,418.49384,1110.4438,0.0,0.5535,146600000000.0
1995,Finland,1.0,10.0,8.341401,98.68,0.4291615,737.8516,5231.3568,65.694174,0.5535,152800000000.0
1996,Finland,1.0,10.0,8.6731208,98.86,0.3721021,1563.5565,5002.5804,55.64806,0.5535,158400000000.0
1997,Finland,1.0,10.0,9.0048406,98.97,0.4983391,3245.3373,6632.8004,247.45895,0.5535,168400000000.0
1998,Finland,1.0,10.0,9.3365604,99.1,0.4970212,5270.8006,7339.6291,90.668361,0.929,177600000000.0
1999,Finland,1.0,10.0,9.557706933333334,99.36,0.5145835333333333,10232.8984,8920.424066666666,88.20476266666667,0.929,185466666666.66666
2000,Finland,1.0,10.0,9.778853466666666,99.61999999999999,0.5321458666666666,15194.996200000001,10501.219033333333,85.74116433333333,0.929,193333333333.33334
2001,Finland,1.0,10.0,10.0,99.88,0.5497082,20157.094,12082.014,83.277566,0.929,201200000000.0
2002,Finland,1.0,10.0,10.0,99.96,0.5186606,22943.123,12091.805,124.69143,0.929,204700000000.0
2003,Finland,1.0,10.0,10.0,99.99,0.5340909,36081.889,8539.3057,149.29612,0.929,208800000000.0
2004,Finland,1.0,10.0,10.0,99.99,0.5504395,53281.593,12556.749,187.76849,0.929,217100000000.0
2005,Finland,1.0,10.0,10.0,99.99,0.5555185,64511.246,7782.8021,323.63356,0.929,223100000000.0
2006,Finland,1.0,10.0,10.0,99.76,0.5937489,96258.476,7997.1119,212.24438,0.929,232100000000.0
2007,Finland,1.0,10.0,10.0,99.72,0.5884125,122329.98,9578.2412,209.65443,0.929,244400000000.0
2008,Finland,1.0,10.0,10.0,99.75,0.5490542,63345.508,5710.0392,272.07904,0.929,246300000000.0
2009,Finland,1.0,10.0,9.7268654,99.61,0.6058118,103086.09,4407.6632,227.15259,0.929,226400000000.0
2010,Finland,1.0,10.0,9.6449602,99.71,0.6364523,131659.42,2792.2253,234.16199,0.929,233600000000.0
2011,Finland,1.0,10.0,9.9316964,99.78,0.6163377,113492.78,-4797.4338,264.47566,0.929,239600000000.0
2012,Finland,1.0,10.0,9.8335122,99.88,0.656606,139731.86,-5899.0684,264.69501,0.929,236300000000.0
2013,Finland,1.0,10.0,9.4824809,99.86,0.6655178,164838.31,-4856.0999,290.87723,0.929,234100000000.0
2014,Finland,1.0,10.0,9.5373333,99.73,0.6435488,169793.1,-3790.1461,225.81504,0.912,233300000000.0
2015,Finland,1.0,10.0,9.4113333,96.61,0.6581224,169585.71,-2209.4316,174.23119,0.912,234500000000.0
2016,Finland,1.0,10.0,9.4645055,92.03,0.647109,176148.54,-4841.648,118.13043,0.912,241100000000.0
2017,Finland,1.0,10.0,9.898365,90.1,0.6499428,222309.44,-1952.469,200.23231,0.912,248800000000.0
2018,Finland,1.0,10.0,9.898365,89.49,0.6276652,208027.04,-5158.7321,229.09812,0.912,251700000000.0
2019,Finland,1.0,10.0,9.8671875,89.65,0.6428207,242316.26,-846.7148,210.49044,0.912,254700000000.0
2020,Finland,1.0,10.0,9.264876,86.53,0.6491964,280600.96,1733.532,228.29415,0.912,248700000000.0
2021,Finland,1.0,10.0,9.645394,82.86,0.6456752,320915.41,1222.4306,178.72966,0.912,255800000000.0
1980,France,0.4172374,9.4,8.9095762,98.96,0.1454865,9423.2022,-4208.3405,0.0,0.482,1300000000000.0
