year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
2012,Korea,101.1246,167.8,109.61803,105.68285,104.93237656338682,-3.807776563386824,0.25739962408632183,169.34909935279038,-1.549099352790364,0.16644419408522512,115.80857334185812,-6.190543341858117,-0.3297966953030014,100.1269614141972,5.555888585802805,-0.33564833730885624,0.14869483684096435,,0.0
2013,Korea,100.1976,168.4,113.34067,102.42261,104.8431004210745,-4.645500421074502,0.31402842109356005,172.0120810926395,-3.6120810926394995,0.38810288400928744,119.87013765743194,-6.529467657431937,-0.34785264177837605,101.99417797857751,0.4284320214224948,-0.02588289765345497,0.2502224752120751,peak,0.2502224752120751
2014,Korea,101.2826,171.3,118.79665,99.598499,104.75493578813652,-3.472335788136519,0.23472436254842954,174.6756352468253,-3.375635246825283,0.3626977747885927,123.93354581367223,-5.136895813672226,-0.2736643893614065,103.861726778767,-4.263227778766989,0.2575547175601438,0.21624563136071612,,0.0
2015,Korea,104.7209,172.3,126.00504,97.719782,104.66775392211304,0.05314607788696435,-0.0035925901223572672,177.33974654782108,-5.039746547821068,0.5414995177907036,127.99858817971685,-1.9935481797168535,-0.10620482973641392,105.72956100881603,-8.00977900881604,0.4838954138480098,0.14338317976326914,trough,0.14338317976326914
2016,Korea,104.7769,172.6,131.6359,105.23888,104.58141739970463,0.1954826002953638,-0.013214312077883265,180.004391289012,-7.404391289012011,0.795570625325828,132.06504228246405,-0.4291422824640563,-0.02286224306265049,107.59762320470558,-2.35874320470559,0.14249894010133313,0.19343507977526198,,0.0
2017,Korea,104.5509,172.6,136.30904,125.9863,104.49578893047719,0.055111069522808975,-0.0037254204237101647,182.66953316441692,-10.069533164416924,1.0819288829647022,136.13268066494172,0.1763593350582937,0.009395415341781977,109.46583587796904,16.52046412203096,-0.9980521078662098,0.22159146858590018,peak,0.22159146858590018
2018,Korea,106.0377,177.2,143.06536,103.48573,104.41073171270303,1.6269682872969753,-0.10998046197808513,185.33511735707646,-8.135117357076467,0.8740840604240822,140.201274797322,2.8640852026780124,0.15258205665448424,111.33411564328182,-7.848385643281816,0.47414514366932603,0.18704600249924674,,0.0
2019,Korea,105.8135,185.1,151.34306,108.37332,104.32610908243215,1.4873909175678506,-0.1005452543441375,188.00106387619826,-2.901063876198265,0.3117070819207324,144.27059659067532,7.072463409324683,0.37678034564031937,113.20242041647964,-4.829100416479633,0.2917408260545029,0.06762523179108189,,0.0
2020,Korea,112.8528,200.6,164.61404,150.39067,104.24178844313526,8.611011556864739,-0.5820906507624801,190.66727239319658,9.932727606803411,-1.0672297026039688,148.34042511628516,16.273614883714828,0.866965000146815,115.07068849243404,35.319981507565956,-2.1337888411023718,-0.6268492827900365,,0.0
2021,Korea,126.0981,205.6,177.64753,136.09482,104.15764091676037,21.94045908323963,-1.483140049395144,193.33363532682603,12.266364673173968,-1.3179691662153903,152.41055712659355,25.236972873406444,1.3444813796591129,116.93884609326558,19.155973906734417,-1.1572713692922587,-1.1423314145018901,,0.0
